problem,solution
"Water crisis in rabi season for vegetables cultivation.","Use of mulching method in vegetable beds during rabi season."
"Leaf curling of Chilli plant","Initially neem leaf extract and detergent powder mixed with water and sprayed on plants."
"Insects in rice Mobile Adaptation Clinics","Primarily in paddy Mobile Adaptation Clinic using Perching method, light trap and hand picking with net to control insects and retain sufficient water in the Mobile Adaptation Clinic."
"Rice Stem Borer","Virtaco 40 WG should be applied at 10 gm per bigha for control of Rice Stem Borer."
"Damping off Bottle Gourd","Mix 2 grams of Bavistin or Autostin 50WDG fungicide per liter of water and spray well on the soil at the bottom of the affected plant."
"-","As an advance measure to control pepper leaf curling problem, organic herbicides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water at seedling stage and after transplanting are sprayed well on the whole plant, besides providing various advice regarding crop cultivation in rabi season."
"Leaf curl of chili","1) Diseased trees and surrounding host trees should be removed and destroyed. 2) For control of vector insects, 20 ml Vertimec insecticide per 10 liters of water should be sprayed above and below the entire plant."
"Damping off Tomato","Mix 2 grams of Bavistin fungicide per liter of water or 4 grams of Cupravit fungicide per liter of water and spray well on the soil at the bottom of the affected plant."
"Blossom end rot of Pumpkin","1) Apply 50 to 80 grams of gypsum fertilizer per pit and moderate irrigation should be given. 2) Applying 4 kg of dolochun per cent of land in case of red soil. And if Dolochun is applied once, it does not have to be applied for 3 consecutive years."
"Damping off Chilli","Mix 20 grams of Bavistin or Autostin 50WDG fungicide per 10 liter of water and spray well on the soil at the bottom of the affected plant."
"-","To control insects in tomato, Chilli, Pumpkin and Cucumber plants, as an advance measure in seedling stage and after transplanting, organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water and should be sprayed throughout the plant at regular intervals."
"-","To control insects in Brinjal, Pumkin, Bottle Gourd and Khirai plants, as an advance measure in seedling stage and after transplanting, organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water and should be sprayed throughout the plant at regular intervals."
"Gummy Stem Blight of Bottle Gourd","Remove and destroy the affected plants, then spray every 7-10 days with 2 grams Ridomil Gold per liter of water."
"Leaf Curl of Chili","Infected plants should be removed and destroyed, then 2 ml of Vertimec insecticide per liter of water should be sprayed thoroughly over the entire plant, top and bottom of the leaves."
"-","As an advance measure to control insects in Chili plants organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water and should be sprayed thoroughly over the entire plant, top and bottom of the leaves at regular intervals from seedling stage."
"-","As an advance measure to control insects in Chili, Tomato, Brinjal plants organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water and should be sprayed thoroughly over the entire plant, top and bottom of the leaves at regular intervals from seedling stage. Thinning of plants to maintain plant spacing and Weeding"
"Fall Army Worm of Maize","Carbaryl group insecticide Vitabril should be applied by mixing 3 grams per liter of water."
"Gummy Stem Blight of Bottle Gourd","1) Remove and destroy the affected plants. 2) Spray every 7-10 days with 2 grams Ridomil Gold per liter of water. OR Spray on plants by making Bordeaux mixer."
