Diseases,Solution
Water crisis in rabi season for vegetables cultivation.,Use of mulching method in vegetable beds during rabi season.
Leaf curling of Chilli plant,Initially neem leaf extract and detergent powder mixed with water and sprayed on plants.
Insects in rice ," using Perching method, light trap and hand picking with net to control insects and retain sufficient water "
Rice Stem Borer,"Virtaco 40 WG should be applied at 10 gm per bigha for control of Rice Stem Borer.
"
Damping off Bottle Gourd,Mix 2 grams of Bavistin or Autostin 50WDG fungicide per liter of water and spray well on the soil at the bottom of the affected plant.
Leaf curl of chili,"1) Diseased trees and surrounding host trees should be removed and destroyed.
2) For control of vector insects, 20 ml Vertimec insecticide per 10 liters of water should be sprayed above and below the entire plant.
"
Damping off Tomato,Mix 2 grams of Bavistin fungicide per liter of water or 4 grams of Cupravit fungicide per liter of water and spray well on the soil at the bottom of the affected plant.
Blossom end rot of Pumpkin,"1) Apply 50 to 80 grams of gypsum fertilizer per pit and moderate irrigation should be given. 2) Applying 4 kg of dolochun per cent of land in case of red soil. And if Dolochun is applied once, it does not have to be applied for 3 consecutive years."
Damping off Chilli,"1) Diseased trees and surrounding host trees should be removed and destroyed.
2) For control of vector insects, 20 ml Vertimec insecticide per 10 liters of water should be sprayed above and below the entire plant."
Gummy Stem Blight of Bottle Gourd,Mix 20 grams of Bavistin or Autostin 50WDG fungicide per 10 liter of water and spray well on the soil at the bottom of the affected plant.
Fall Army Worm of Maize,"Remove and destroy the affected plants, then spray every 7-10 days with 2 grams Ridomil Gold per liter of water."
Pod Borer of Bean,"Infected plants should be removed and destroyed, then 2 ml of Vertimec insecticide per liter of water should be sprayed thoroughly over the entire plant, top and bottom of the leaves."
White Fly in Pumpkin ,Carbaryl group insecticide Vitabril should be applied by mixing 3 grams per liter of water.
Insects in vegetables Mobile Adaptation Clinics,"1) Remove and destroy the affected plants.
2) Spray every 7-10 days with 2 grams Ridomil Gold per liter of water.
     OR
Spray on plants by making Bordeaux mixer.
"
Downy Mildew of Cucumber,"1. Collect and destroy infested flowers or fruit with insects daily.
2. Emamectin Benzoate group insecticide Proclaim should be sprayed well on all the plants in the late afternoon mixed at the rate of 1 gram per liter of water.
"
Leaf Curling of Chilli and Cucumber ,"For control of whitefly in Pumpkin , organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water should be sprayed well on the entire plant at regular intervals."
Anthracnose of Khirai,Nitro 505 EC insecticide 1 ml per liter of water should be mixed proportionally and sprayed on the plants well in the late afternoon.
Brinjal Shoot and Fruit Borer,"For control of insects in vegetables Mobile Adaptation Clinics, organic insecticides such as detergent powder, neem leaf extract, mahogany tree fruit extract, tobacco leaf extract mixed with water should be sprayed well on the entire plant at regular intervals."
Wilting of Brinjal,"Remove and destroy the affected leaves, then spray every 7-10 days with 2 grams Ridomil Gold per liter of water."
Leaf Curl Disease of Tomato,"For control of vector insects in pepper and cucumber plant, organic insecticides such as neem leaf extract, detergent powder, mahogany tree seed extract, tobacco leaf extract mixed with water should be sprayed well on the entire plant at regular intervals."
Leaf Curl Disease of Chili,"Remove and destroy the affected leaves, then spray with 0.5 ml Tilt 250 EC per liter of water."
